Co_ID,PO ID,Exchange,Name," Root
Ticker "," Market Cap (C$)
31-December-2023 "," O/S Shares
31-December-2023 ",Sector, Sub-Sector ,"HQ
Location","HQ
Region",Listing Type,Listing Date,Interlisted,Trading on OTC,"CPC/
Former
CPC","S&P/TSX Venture 
Composite Index",2023 Venture 50,USA City,Asia Region," Volume YTD
31-December-2023 "," Value (C$) YTD
31-December-2023 "," Number of 
Trades YTD
31-December-2023 "," Number of
Months in
Trading Data ",AFRICA,ASIA,AUS/NZ/PNG,CANADA,LATIN AMERICA,OTHER,UK/EUROPE,USA,Oil and Gas,Gold,Silver,Copper,Nickel,Diamond,Molybdenum,Platinum/PGM,Iron,Lead,Zinc,Rare Earths,Potash,Lithium,Uranium,Coal,Tungsten,Base & Precious Metals,Royalty Streaming,Other Properties
V-01768,36920,TSXV,Northwest Copper Corp.,NWST," 33,321,337 "," 196,007,863 ",Mining,,BC,Canada,,,,OTCQX,,,,,," 33,257,526 "," 6,480,315 "," 3,914 ", 12 ,,,,BC,,,,,,Y,,Y,,,,,,,,,,,,,,,,
V-02479,1112078,TSXV,Midland Exploration Inc.,MD," 33,010,888 "," 86,870,758 ",Mining,,QC,Canada,Other,20070302,,,,,,,," 13,521,878 "," 7,365,719 "," 5,100 ", 12 ,,,,QC,,,,,,Y,Y,Y,Y,,,Y,,,Y,,,,,,,,,Cobalt
V-00975,1073156,TSXV,Bluestone Resources Inc.,BSR," 32,605,405 "," 151,653,045 ",Mining,,BC,Canada,,,,OTCQB,Y,,,,," 16,980,754 "," 6,627,939 "," 4,230 ", 12 ,,,,,Guatemala,,,,,Y,,,,,,,,,,,,,,,,,,
V-00593,821159,TSXV,Denarius Metals Corp.,DSLV," 32,215,695 "," 63,168,030 ",Mining,,BC,Canada,RTO from NEX,20210302,,OTCQX,,,,,," 9,736,759 "," 3,472,578 "," 1,776 ", 12 ,,,,,Colombia,,Spain,,,Y,,,,,,,,,,,,,,,,,,Sulphide
V-03704,1136465,TSXV,Westhaven Gold Corp.,WHN," 31,631,928 "," 140,586,345 ",Mining,,BC,Canada,QT,20110720,,,Y,,,,," 18,674,426 "," 5,323,398 "," 4,425 ", 12 ,,,,BC,,,,,,Y,,,,,,,,,,,,,,,,,,
V-03888,1151800,TSXV,Arizona Gold & Silver Exploration Inc.,AZS," 31,513,568 "," 71,621,745 ",Mining,,BC,Canada,QT from NEX,20161121,,OTCQB,Y,,,,," 10,382,990 "," 4,220,966 "," 3,910 ", 12 ,,,,,,,,"AZ, NV",,Y,Y,,,,,,,,,,,,,,,,,
V-03634,1135105,TSXV,Falco Resources Ltd.,FPC," 31,231,456 "," 271,577,879 ",Mining,,QC,Canada,QT,20120925,,,Y,,,,," 20,765,273 "," 2,604,024 "," 2,475 ", 12 ,,,,QC,,,,,,Y,,,,,,,,,,,,,,,,,,
V-03662,1138681,TSXV,Cordoba Minerals Corp.,CDB," 30,985,808 "," 89,813,936 ",Mining,,ON,Canada,IPO,20101014,,OTCQB,,,,,," 2,355,798 "," 1,012,480 ", 810 , 12 ,,,,,Colombia,,,,,Y,,Y,,,,,,,,,,,,,,,,
V-02021,816867,TSXV,Altamira Gold Corp.,ALTA," 30,671,456 "," 211,527,286 ",Mining,,BC,Canada,,,,,,,,,," 14,232,243 "," 2,754,837 "," 2,503 ", 12 ,,,,,Brazil,,,,,Y,,Y,,,,,,,,,,,,,,,,
V-03812,1148330,TSXV,Callinex Mines Inc.,CNX," 30,651,929 "," 17,220,185 ",Mining,,BC,Canada,Other,20110714,,OTCQX,,,,,," 5,060,980 "," 16,364,156 "," 11,984 ", 12 ,,,,"MB, NB",,,,,,Y,Y,Y,,,,,,,Y,,,,,,,,,
V-04490,1181705,TSXV,TDG Gold Corp.,TDG," 30,553,388 "," 122,213,550 ",Mining,,BC,Canada,QT,20201217,,,Y,,,,," 9,718,462 "," 2,193,907 "," 4,844 ", 12 ,,,,BC,,,,,,Y,Y,,,,,,,,,,,,,,,,,
V-04096,1161505,TSXV,Galway Metals Inc.,GWM," 30,336,995 "," 74,906,160 ",Mining,,ON,Canada,Other,20130104,,OTCQB,,,,,," 9,730,212 "," 3,575,863 "," 4,116 ", 12 ,,,,"NB, QC",,,,,,Y,,,,,,,,,Y,,,,,,,,,
V-03701,1135745,TSXV,Goldshore Resources Inc.,GSHR," 29,857,211 "," 259,627,918 ",Mining,,BC,Canada,RTO from NEX,20210604,,OTCQB,,,,,," 77,824,658 "," 13,349,803 "," 10,396 ", 12 ,,,,ON,,,,,,Y,,,,,,,,,,,,,,,,,,
V-04600,1183105,TSXV,HighGold Mining Inc.,HIGH," 29,838,682 "," 87,760,828 ",Mining,,BC,Canada,Other,20190923,,OTCQX,,,,,," 11,717,473 "," 6,414,627 "," 3,949 ", 12 ,,,,,,,,AK,,Y,,,,,,,,,,,,,,,,,,
V-02819,1118104,TSXV,Defiance Silver Corp.,DEF," 28,625,277 "," 229,002,218 ",Mining,,BC,Canada,QT,20090811,,OTCQX,Y,,,,," 32,953,961 "," 4,946,882 "," 6,388 ", 12 ,,,,,Mexico,,,,,Y,Y,Y,,,,,,,,,,,,,,,,
V-03955,1152445,TSXV,Nevgold Corp.,NAU," 28,552,338 "," 76,139,569 ",Mining,,BC,Canada,RTO,20210629,,OTCQX,,,,,," 18,545,148 "," 6,853,610 "," 4,867 ", 12 ,,,,BC,,,,"ID, NV",,Y,Y,,,,,,,,,,,,,,,,,
V-00422,1061421,TSXV,OMAI Gold Mines Corp.,OMG," 28,338,445 "," 377,845,932 ",Mining,,ON,Canada,RTO,20201118,,OTCQB,,,,,," 69,003,205 "," 3,817,842 "," 2,759 ", 12 ,,,,,Guyana,,,,,Y,,,,,,,,,,,,,,,,,,
V-04726,1184745,TSXV,American Eagle Gold Corp.,AE," 28,306,884 "," 108,872,629 ",Mining,,ON,Canada,Other,20210503,,OTCQB,,,,,," 54,005,865 "," 11,165,313 "," 8,053 ", 12 ,,,,BC,,,,,,Y,,Y,,,,,,,,,,,,,,,,
V-00350,1023544,TSXV,Cantex Mine Development Corp.,CD," 28,186,900 "," 104,395,927 ",Mining,,BC,Canada,,,,OTCQB,,,,,," 19,455,177 "," 4,631,930 "," 3,486 ", 12 ,,,,YT,,"Saudi Arabia, Yemen",,NV,,Y,,Y,Y,,,,,,,,,,,,,,,Cobalt
V-00853,21630,TSXV,Grande Portage Resources Ltd.,GPG," 28,035,800 "," 119,301,276 ",Mining,,BC,Canada,,,,OTCQB,,,,,," 12,014,109 "," 2,681,401 "," 2,762 ", 12 ,,,,,,,,AK,,Y,,,,,,,,,,,,,,,,,,
V-04853,1185910,TSXV,Silver Mountain Resources Inc.,AGMR," 27,965,986 "," 279,659,860 ",Mining,,ON,Canada,IPO,20220202,,OTCQB,,,,,," 34,308,136 "," 5,262,210 "," 6,202 ", 12 ,,,,,Peru,,,,,,Y,,,,,,,,,,,,,,,,,
V-00633,1101624,TSXV,Endurance Gold Corporation,EDG," 27,197,288 "," 151,096,042 ",Mining,,BC,Canada,Other,20050804,,,,,,,," 8,561,982 "," 2,251,513 "," 1,564 ", 12 ,,,,"BC, ON, YT",,,,AK,,Y,,,,,,,,,,Y,,,,,,,,Niobium
V-03954,1154650,TSXV,Canadian Gold Corp.,CGC," 27,002,841 "," 174,211,879 ",Mining,,ON,Canada,Other,20120202,,OTCQB,,,,,," 40,588,246 "," 7,984,520 "," 6,204 ", 12 ,,,,MB,,,,,,Y,,,,,,,,,,,,,,,,,,
V-04815,1185020,TSXV,Western Alaska Minerals Corp.,WAM," 26,995,590 "," 28,120,406 ",Mining,,AZ,USA,Other,20211115,,,,,Y,Tuscon,," 5,531,561 "," 10,714,111 "," 9,642 ", 12 ,,,,,,,,AZ,,Y,Y,Y,,,,,,Y,Y,,,,,,,,,
V-03748,1143440,TSXV,Royal Road Minerals Limited,RYR," 26,569,580 "," 265,695,801 ",Mining,,Jersey,UK/Europe,QT from NEX,20150420,,,Y,,,,," 12,506,933 "," 1,436,425 "," 1,195 ", 12 ,Morocco,,,,"Argentina, Colombia",Saudi Arabia,,,,Y,,Y,,,,,,,,,,,,,,,,
V-04506,1181701,TSXV,Kobo Resources Inc.,KRI," 26,382,974 "," 81,178,383 ",Mining,,QC,Canada,QT,20230331,,,Y,,,,," 2,837,505 "," 1,009,358 ", 740 , 10 ,Cote d'Ivoire,,,,,,,,,Y,,,,,,,,,,,,,,,,,,
V-03791,1136050,TSXV,Western Exploration Inc.,WEX," 25,664,624 "," 34,449,160 ",Mining,,NV,USA,RTO,20220119,,OTCQX,,,,Reno,," 1,876,917 "," 2,072,101 "," 1,769 ", 12 ,,,,,,,,NV,,Y,Y,,,,,,,,,,,,,,,,,
V-04365,1179375,TSXV,Angus Gold Inc.,GUS," 25,532,546 "," 49,101,050 ",Mining,,ON,Canada,QT,20191112,,OTCQB,Y,,,,," 2,184,582 "," 1,565,223 "," 1,568 ", 12 ,,,,ON,,,,,,Y,,,,,,,,,,,,,,,,,,
V-00100,1045778,TSXV,Apollo Silver Corp.,APGO," 25,296,757 "," 174,460,395 ",Mining,,BC,Canada,,,,OTCQB,Y,,,,," 58,319,161 "," 8,409,885 "," 5,422 ", 12 ,,,,,,,,"AZ, CA",,,Y,,,,,,,,,,,,,,,,,
V-03149,1138245,TSXV,Tristar Gold Inc.,TSG," 25,193,560 "," 279,928,441 ",Mining,,TX,USA,,20100721,,OTCQX,,,,Houston,," 9,989,729 "," 1,189,684 "," 1,564 ", 12 ,,,,,Brazil,,,,,Y,,,,,,,,,,,,,,,,,,
V-00412,821862,TSXV,Gunpoint Exploration Ltd.,GUN," 25,192,992 "," 50,894,933 ",Mining,,BC,Canada,,,,,,,,,," 248,239 "," 135,877 ", 98 , 12 ,,,,,"Guatemala, Mexico",,,NV,,Y,Y,,,,,,,,,,,,,,,,,
V-01386,24564,TSXV,Labrador Gold Corp.,LAB," 24,651,447 "," 170,009,979 ",Mining,,BC,Canada,,,,OTCQX,,,,,," 23,523,247 "," 4,792,901 "," 5,484 ", 12 ,,,,"NL, ON",,,,,,Y,,,,,,,,,,,,,,,,,,
V-00813,1094412,TSXV,GoldQuest Mining Corp.,GQC," 24,647,026 "," 259,442,384 ",Mining,,BC,Canada,,,,,,,,,," 15,207,745 "," 1,570,291 "," 1,479 ", 12 ,,,,,Dominican Republic,,,,,Y,,,,,,,,,,,,,,,,,,
V-02816,1116959,TSXV,Blackwolf Copper and Gold Ltd.,BWCG," 24,600,000 "," 123,000,000 ",Mining,,BC,Canada,QT,20091119,,,Y,,,,," 41,338,724 "," 10,290,227 "," 6,717 ", 12 ,,,,BC,,,,AK,,Y,Y,Y,,,,,,,Y,,,,,,,,,
V-02892,1118969,TSXV,Maritime Resources Corp.,MAE," 24,554,984 "," 545,666,319 ",Mining,,BC,Canada,QT,20101006,,,Y,,,,," 66,784,338 "," 2,872,197 "," 2,608 ", 12 ,,,,NL,,,,,,Y,,,,,,,,,,,,,,,,,,
V-04698,1184385,TSXV,Star Royalties Ltd.,STRR," 24,362,554 "," 74,961,705 ",Mining,,ON,Canada,IPO,20210219,,OTCQX,,,,,," 11,142,247 "," 3,190,020 "," 2,182 ", 12 ,,,,,,,,,,Y,Y,Y,,,,,,,,,,,,,,,Y,
V-04488,1181654,TSXV,Battery Mineral Resources Corp.,BMR," 24,356,740 "," 180,420,294 ",Mining,,Australia,Australia/NZ/PNG,QT,20210223,,OTCQB,Y,,,,," 4,294,324 "," 649,937 "," 1,062 ", 12 ,,South Korea,,ON,Chile,,"ID, NV",Y,,Y,Y,,,,,,,,,,,Y,,,,,,Graphite
V-00754,1062292,TSXV,Galantas Gold Corporation,GAL," 24,330,352 "," 108,134,898 ",Mining,,ON,Canada,,,AIM,OTCQX,,,,,," 14,270,577 "," 4,577,230 "," 3,801 ", 12 ,,,,,,,Ireland,,,Y,,,,,,,,,,,,,,,,,,
V-01376,24205,TSXV,Newport Exploration Ltd.,NWX," 24,283,371 "," 105,579,874 ",Mining,,BC,Canada,,,,,,,,,," 13,296,259 "," 3,604,148 "," 5,276 ", 12 ,,,,BC,,,,,Y,Y,,Y,,,,,,,,,,,,,,,,
V-01824,20215,TSXV,Torq Resources Inc.,TORQ," 24,280,989 "," 110,368,130 ",Mining,,BC,Canada,RTO,20110914,,OTCQX,,,,,," 16,303,095 "," 6,319,879 "," 3,259 ", 12 ,,,,,Chile,,,,,Y,,Y,,,,,,,,,,,,,,,,
V-04323,1178611,TSXV,GR Silver Mining Ltd.,GRSL," 24,201,696 "," 302,521,197 ",Mining,,BC,Canada,QT,20180306,,OTCQB,Y,,,,," 87,691,448 "," 6,065,495 "," 6,769 ", 12 ,,,,,Mexico,,,,,Y,Y,,,,,,,,,,,,,,,,,
V-02955,1118203,TSXV,Bonterra Resources Inc.,BTR," 24,197,947 "," 127,357,615 ",Mining,,BC,Canada,IPO,20090204,,OTCQX,,,,,," 18,428,498 "," 4,684,080 "," 3,975 ", 12 ,,,,QC,,,,,,Y,,,,,,,,,,,,,,,,,,
V-03145,1132800,TSXV,Newcore Gold Ltd.,NCAU," 24,191,085 "," 172,793,463 ",Mining,,BC,Canada,QT,20110714,,OTCQX,Y,,,,," 30,742,020 "," 5,262,085 "," 3,301 ", 12 ,Ghana,,,,,,,,,Y,,,,,,,,,,,,,,,,,,
V-02411,1109065,TSXV,GMV Minerals Inc.,GMV," 24,179,408 "," 86,355,029 ",Mining,,BC,Canada,QT,20080104,,OTCQB,Y,,,,," 19,316,239 "," 3,586,123 "," 3,415 ", 12 ,,,,,,,,AZ,,Y,,,,,,,,,,,,,,,,,,
V-03831,1145850,TSXV,Maple Gold Mines Ltd.,MGM," 23,780,215 "," 339,717,360 ",Mining,,ON,Canada,IPO,20110809,,OTCQB,,,,,," 44,156,275 "," 5,420,717 "," 5,613 ", 12 ,,,,QC,,,,,,Y,,,,,,,,,,,,,,,,,,
V-01029,33712,TSXV,Starr Peak Mining Ltd.,STE," 23,448,466 "," 52,693,181 ",Mining,,BC,Canada,,,,OTCQX,,,,,," 10,363,127 "," 5,253,264 "," 3,877 ", 12 ,,,,QC,,,,,,Y,,,,,,,,,,,,,,,,Y,,
V-04020,1155600,TSXV,GFG Resources Inc.,GFG," 23,424,630 "," 212,951,185 ",Mining,,SK,Canada,QT from NEX,20161027,,OTCQB,Y,,,,," 17,633,038 "," 2,070,946 "," 1,661 ", 12 ,,,,ON,,,,WY,,Y,,,,,,,,,,,,,,,,,,
V-02685,1114811,TSXV,Palladium One Mining Inc.,PDM," 23,357,680 "," 359,348,928 ",Mining,,BC,Canada,QT from NEX,20160229,,OTCQB,Y,,,,," 63,513,660 "," 5,559,629 "," 5,939 ", 12 ,,,,"ON, YT",,,Finland,,,,,Y,Y,,,Y,,,,,,,,,,,,
V-04060,1153800,TSXV,Viscount Mining Corp.,VML," 22,920,290 "," 88,154,962 ",Mining,,BC,Canada,QT,20130725,,OTCQX,Y,,,,," 10,527,964 "," 2,731,663 "," 2,463 ", 12 ,,,,,,,,"CO, NV",,Y,Y,,,,,,,,,,,,,,,,,
V-01120,1098699,TSXV,Lara Exploration Ltd.,LRA," 22,900,507 "," 45,801,014 ",Mining,,BC,Canada,Other,20050530,,,,,,,," 4,302,074 "," 3,167,839 ", 955 , 12 ,,,,,"Brazil, Peru",,,,,Y,Y,Y,,,,,,,Y,,,,,,,,Y,Vanadium
V-04159,1164150,TSXV,Stallion Uranium Corp.,STUD," 22,679,414 "," 110,631,286 ",Mining,,BC,Canada,IPO,20131022,,OTCQB,,,,,," 24,409,682 "," 7,017,453 "," 4,595 ", 12 ,,,,"BC, ON",,,,NV,,Y,,,,,,,,,,,,,,,,,,
V-01876,818115,TSXV,Strategic Metals Ltd.,SMD," 22,191,193 "," 110,955,967 ",Mining,,BC,Canada,,,,,,,,,," 6,565,471 "," 1,594,371 "," 1,586 ", 12 ,,,,YT,,,,,,Y,Y,,,,,,,Y,Y,,,Y,,,Y,,,"Tin, Vanadium"
V-01732,19509,TSXV,Japan Gold Corp.,JG," 21,803,816 "," 256,515,479 ",Mining,,BC,Canada,RTO from NEX,20160919,,OTCQB,,,,,," 13,392,688 "," 2,019,972 "," 1,578 ", 12 ,,Japan,,,,,,,,Y,,,,,,,,,,,,,,,,,,
V-04530,1182338,TSXV,Electric Metals (USA) Limited,EML," 21,706,902 "," 144,712,683 ",Mining,,ON,Canada,QT,20210507,,OTCQB,Y,,,,," 16,481,575 "," 3,626,553 "," 3,222 ", 12 ,,,,,,,,"MN, NV",,,Y,,,,,,Y,,,,,,,,,,,Manganese
V-03957,1062173,TSXV,Lake Victoria Gold Ltd.,LVG," 21,602,971 "," 105,380,345 ",Mining,,ON,Canada,Other,20120222,,OTCQB,,,,,," 11,548,997 "," 2,095,611 "," 1,164 ", 12 ,Tanzania,,,,,,,,,Y,,,,,,,,,,,,,,,,,,
V-04079,1161501,TSXV,Velocity Minerals Ltd.,VLC," 21,554,543 "," 195,950,395 ",Mining,,BC,Canada,TSX Comedown,20121106,,OTCQB,,,,,," 4,789,717 "," 720,922 ", 320 , 12 ,,,,,,,Bulgaria,,,Y,,Y,,,,,,,,,,,,,,,,
V-02430,1109135,TSXV,Sokoman Minerals Corp.,SIC," 21,487,971 "," 286,506,282 ",Mining,,NL,Canada,QT,20080910,,OTCQB,Y,,,,," 32,885,596 "," 4,232,228 "," 4,185 ", 12 ,,,,NL,,,,,,Y,,,,,,,,,,,,,,,,,,
V-00199,14380,TSXV,Goldbank Mining Corporation,GLB," 21,475,898 "," 143,172,655 ",Mining,,BC,Canada,,,,,,,,,," 406,770 "," 37,274 ", 86 , 12 ,,,,YT,,,,,,Y,,,,,,,,,,,,,,,,,,
V-04678,1184200,TSXV,Tincorp Metals Inc.,TIN," 21,298,375 "," 66,557,423 ",Mining,,BC,Canada,Other,20201125,,OTCQX,,,,,," 3,343,257 "," 1,425,790 "," 1,258 ", 12 ,,,,YT,Bolivia,,,,,Y,,,,,,,,,,,,,,,,,,Tin
V-01175,1023635,TSXV,MAX Resource Corp.,MAX," 21,120,000 "," 176,000,000 ",Mining,,BC,Canada,,,,,,,,,," 28,441,269 "," 4,571,434 "," 3,726 ", 12 ,,,,,Colombia,,,,,,Y,Y,,,,,,,,,,,,,,,,
V-04459,1181305,TSXV,QC Copper and Gold Inc.,QCCU," 20,843,558 "," 173,696,313 ",Mining,,ON,Canada,Other,20180601,,OTCQB,,,,,," 29,903,359 "," 4,389,898 "," 3,070 ", 12 ,,,,QC,,,,,,,Y,,Y,,,,,,,,,,,,,,,
V-02518,1112789,TSXV,Phenom Resources Corp.,PHNM," 20,458,038 "," 95,153,664 ",Mining,,BC,Canada,Other,20070514,,OTCQX,,,,,," 11,401,659 "," 3,911,368 "," 3,272 ", 12 ,,,,,,,,"AZ, NV",,Y,,,,,,,,,,,,,,,,,,Vanadium
V-01364,28030,TSXV,Equity Metals Corporation,EQTY," 20,345,710 "," 156,505,458 ",Mining,,BC,Canada,,,,OTCQB,,,,,," 41,916,000 "," 6,245,268 "," 5,681 ", 12 ,,,,"BC, NT",,,,,,Y,Y,,,Y,,,,,,,,,,,,,,
V-01483,18293,TSXV,Pacific Ridge Exploration Ltd.,PEX," 20,225,571 "," 130,487,556 ",Mining,,BC,Canada,,,,OTCQB,,,,,," 26,862,098 "," 6,130,869 "," 5,081 ", 12 ,,,,"BC, YT",,,,,,Y,,Y,,,,,,,,,,,,,,,,
V-04892,1186415,TSXV,Arras Minerals Corp.,ARK," 20,208,798 "," 68,504,400 ",Mining,,BC,Canada,Other,20220614,,,,,,,," 6,670,803 "," 2,002,454 "," 2,438 ", 12 ,,,,,,Kazakhstan,,,,Y,,Y,,,,,,,,,,,,,,,,
V-02355,1106552,TSXV,West High Yield (W.H.Y.) Resources Ltd.,WHY," 20,132,465 "," 89,477,621 ",Mining,,AB,Canada,Other,20060801,,,,,,,," 17,670,373 "," 5,908,365 "," 4,495 ", 12 ,,,,BC,,,,,,Y,,,,,,,,,,,,,,,,,,Magnesium
V-00017,1074330,TSXV,Abcourt Mines Inc.,ABI," 19,791,150 "," 494,778,759 ",Mining,,QC,Canada,,,,,,,,,," 49,129,105 "," 2,623,348 "," 1,831 ", 12 ,,,,QC,,,,,,Y,Y,,,,,,,,Y,,,,,,,,,
V-00391,1056713,TSXV,Hannan Metals Ltd.,HAN," 19,694,082 "," 109,411,569 ",Mining,,BC,Canada,RTO,20050915,,,Y,,,,," 7,882,962 "," 1,911,589 "," 2,109 ", 12 ,,,,,Peru,,,,,Y,Y,Y,,,,,,,,,,,,,,,,
V-02584,1112943,TSXV,Rugby Resources Ltd.,RUG," 19,470,737 "," 278,153,382 ",Mining,,Australia,Australia/NZ/PNG,QT,20090306,,,Y,,,,," 23,999,267 "," 1,326,483 "," 1,206 ", 12 ,,Philippines,,,"Argentina, Chile, Colombia",,,,,Y,Y,Y,,,,,,,,,,,,,,,,
V-02809,1118271,TSXV,Rockhaven Resources Ltd.,RK," 19,329,553 "," 276,136,470 ",Mining,,BC,Canada,Other,20080429,,,,,,,," 14,404,358 "," 914,844 ", 961 , 12 ,,,,YT,,,,,,Y,Y,,,,,,,,,,,,,,,,,
V-00690,29799,TSXV,Fancamp Exploration Ltd.,FNC," 19,274,700 "," 240,933,751 ",Mining,,BC,Canada,,,,,,,,,," 10,111,934 "," 1,057,023 ", 948 , 12 ,,,,QC,,,,,,Y,,,,,,,,,,Y,,,,,,Y,,
V-03785,1145075,TSXV,Golden Horse Minerals Limited,GHML," 19,145,674 "," 159,547,285 ",Mining,,BC,Canada,QT,20120112,,,Y,,,,," 5,722,789 "," 442,973 ", 185 , 11 ,,,Australia,,,,,,,Y,,,,,,,,,,,,,,,,,,
V-03003,1116366,TSXV,Canuc Resources Corporation,CDA," 19,104,738 "," 159,206,150 ",Mining,,ON,Canada,Other,20090827,,OTCQB,,,,,," 11,071,469 "," 1,244,107 ", 975 , 12 ,,,,,Mexico,,,,Y,Y,Y,,,,,,,,,,,,,,,,,
V-00093,708779,TSXV,Amarc Resources Ltd.,AHR," 19,053,260 "," 211,702,894 ",Mining,,BC,Canada,,,,OTCQB,,,,,," 10,940,246 "," 1,372,969 "," 1,146 ", 12 ,,,,BC,,,,,,Y,,Y,,,,,,,,,,,,,,,,
V-04263,1175665,TSXV,Barsele Minerals Corp.,BME," 18,900,000 "," 140,000,000 ",Mining,,BC,Canada,Other,20150929,,OTCQB,,,,,," 6,130,122 "," 1,437,718 "," 1,329 ", 12 ,,,,,,,Sweden,,,Y,,,,,,,,,,,,,,,,,,
V-04112,1161700,TSXV,Aurania Resources Ltd.,ARU," 18,892,089 "," 67,471,747 ",Mining,,ON,Canada,IPO,20130417,,OTCQB,,,,,," 8,922,530 "," 3,078,431 "," 4,926 ", 12 ,,,,,Ecuador,,,,,Y,,,,,,,,,,,,,,,,,,
V-02350,1107569,TSXV,Bayhorse Silver Inc.,BHS," 18,826,275 "," 268,946,790 ",Mining,,BC,Canada,Other,20060830,,OTCQB,,,,,," 96,063,166 "," 3,794,818 "," 3,836 ", 12 ,,,,BC,,,,OR,,,Y,,,,,,,,,,,,,,,Y,,
V-02119,1023581,TSXV,Vulcan Minerals Inc.,VUL," 18,680,243 "," 128,829,265 ",Mining,,NL,Canada,,,,,,,,,," 26,121,500 "," 5,747,510 "," 4,888 ", 12 ,,,,NL,,,,,,Y,,Y,Y,,,,,,,,,,,,,,,
V-04307,1176145,TSXV,Austral Gold Limited,AGLD," 18,369,341 "," 612,311,353 ",Mining,,Australia,Australia/NZ/PNG,Other,20160822,ASX,OTCQB,,,,,," 2,474,631 "," 80,096 ", 219 , 12 ,,,,,"Argentina, Chile",,,"NV, UT",,Y,Y,,,,,,,,,,,,,,,,,
V-04659,1183840,TSXV,Sun Peak Metals Corp.,PEAK," 18,290,713 "," 87,098,634 ",Mining,,BC,Canada,Other,20200817,,OTCQB,,,,,," 4,321,937 "," 933,048 ", 538 , 12 ,Eritrea,,,,,,,,,Y,,Y,,,,,,,,,,,,,,,,
V-04254,1175190,TSXV,Macarthur Minerals Limited,MMS," 18,287,884 "," 166,253,488 ",Mining,,Australia,Australia/NZ/PNG,TSX Comedown,20150625,ASX,OTCQB,,,,,," 7,423,054 "," 1,174,816 ", 978 , 12 ,,,Australia,,,,,NV,,Y,,,,,,,Y,,,,,Y,,,,,,
V-03869,1151510,TSXV,Mundoro Capital Inc.,MUN," 18,284,819 "," 104,484,680 ",Mining,,BC,Canada,TSX Comedown,20110930,,OTCQB,,,,,," 13,483,536 "," 2,528,345 "," 1,712 ", 12 ,,China,,,,,Bulgaria,,,Y,,Y,,,,,,,,,,,,,,,,
V-00808,22614,TSXV,Surge Copper Corp.,SURG," 18,074,334 "," 200,825,928 ",Mining,,BC,Canada,,,,OTCQB,,,,,," 37,652,430 "," 4,439,980 "," 4,736 ", 12 ,,,,BC,,,,,,Y,Y,Y,,,Y,,,,,,,,,,,,,
V-01015,31077,TSXV,CopAur Minerals Inc.,CPAU," 17,921,371 "," 60,750,409 ",Mining,,BC,Canada,,,,OTCQX,,,,,," 22,811,515 "," 10,636,981 "," 7,165 ", 12 ,,,,BC,,,,NV,,Y,,Y,,,,,,,,,,,,,,,,
V-01842,1062245,TSXV,Spruce Ridge Resources Ltd.,SHL," 17,867,612 "," 210,207,202 ",Mining,,ON,Canada,,,,,,,,,," 27,415,240 "," 1,808,403 ", 982 , 5 ,,,,NL,,,,,,Y,Y,Y,,,,,,,,,,,,,,,,
V-04525,1181195,TSXV,FireFox Gold Corp.,FFOX," 17,488,890 "," 174,888,898 ",Mining,,BC,Canada,IPO,20181221,,OTCQB,,,,,," 36,848,626 "," 2,820,242 "," 3,100 ", 12 ,,,,,,,Finland,,,Y,,,,,,,,,,,,,,,,,,
V-02360,1107279,TSXV,BCM Resources Corporation,B," 17,059,783 "," 189,553,145 ",Mining,,BC,Canada,Other,20060927,,,,,,,," 30,275,310 "," 4,092,719 "," 3,378 ", 12 ,,,,BC,,,,UT,,Y,,Y,,,Y,,,,,,,,,,,,,
V-01611,1060173,TSXV,Puma Exploration Inc.,PUMA," 16,979,616 "," 147,648,838 ",Mining,,QC,Canada,,,SSEV,OTCQB,Y,,,,," 29,952,022 "," 4,678,891 "," 4,682 ", 12 ,,,,NB,,,,,,Y,,,,,,,,,,,,,,,,,,
V-03680,1121555,TSXV,Angkor Resources Corp.,ANK," 16,601,292 "," 184,458,805 ",Mining,,AB,Canada,QT,20111019,,OTCQB,Y,,,,," 6,814,288 "," 553,379 ", 488 , 12 ,,Cambodia,,,,,,,,Y,,,,,,,,,,,,,,,,,,
V-02881,1119181,TSXV,Aton Resources Inc.,AAN," 16,538,414 "," 78,754,350 ",Mining,,ON,Canada,QT,20101005,,,Y,,,,," 2,251,788 "," 434,183 ", 490 , 12 ,Egypt,,,,,,,,,Y,,,,,,,,,,,,,,,,,,
V-04845,1186030,TSXV,Freeman Gold Corp.,FMAN," 16,468,936 "," 131,751,484 ",Mining,,BC,Canada,Other,20220208,,OTCQX,,,,,," 21,882,241 "," 4,041,520 "," 1,999 ", 12 ,,,,,,,,NV,,Y,,,,,,,,,,,,,,,,,,
V-04137,1163480,TSXV,East Africa Metals Inc.,EAM," 16,342,419 "," 204,280,236 ",Mining,,BC,Canada,Other,20130711,,,,,,,," 5,362,402 "," 613,460 ", 684 , 12 ,"Ethiopia, Tanzania",,,,,,,,,Y,,Y,,,,,,,,,,,,,,,,
V-04340,1179245,TSXV,Aztec Minerals Corp.,AZT," 16,259,136 "," 101,619,601 ",Mining,,BC,Canada,IPO,20170502,,OTCQB,,,,,," 16,317,251 "," 4,020,489 "," 3,056 ", 12 ,,,,,Mexico,,,AZ,,Y,,,,,,,,,,,,,,,,,,
